ID	Product	Protocol	Fingerprint	F. Type	Shodan	Censys	Fingerprint Type	Fingerprint proposed by	Support	Status	BITSIGHT COMMENTS	Implemented on	Provided by Schneider	Remarks (Schneider)	Groma Implemented Date	Groma JIRA Ticket	Groma CPE	CPE Review (SE)
51	NMC2	SNMP	MN:AP963*		Y		IT	Schneider Electric	Supported	Implemented			9/13/2024
52	NMC3	FTP	services.ftp.banner="*AP964*"			Y	IT	Schneider Electric	Supported	Implemented	Implemented as a set of 45 more specific FTP fingerprints (review)	7/13/2023	9/13/2024
53	NMC3	SNMP	MN:AP964*		Y		IT	Schneider Electric	Supported	Implemented			9/13/2024
54	NMC3	FTP	AP964* Network Management Card AOS		Y		IT	Schneider Electric	Supported	Implemented	Implemented as a set of 45 more specific FTP fingerprints (review)	7/13/2023	9/13/2024
55	NMC4	HTTP/HTTPS	services.http.response.html_title: "UPS Network Management Card 4"			Y	IT	Schneider Electric	Supported	Duplicate	Duplicates ID 28		9/13/2024
56	NMC4	HTTP/HTTPS	http.html_hash:2099027000	HTML Hash	Y		IT	Schneider Electric	Supported	Implemented		10/9/2024	9/13/2024
57	NMC4	HTTP/HTTPS	title:"UPS Network Management Card 4"	HTML Title	Y		IT	Schneider Electric	Supported	Duplicate	Duplicates ID 28		9/13/2024
58	NMC2 / NMC3	SNMP	Description: APC Web/SNMP Management Card		Y		IT	Schneider Electric	Supported	Implemented		6/27/2024	9/13/2024
59	NMC2 / NMC3	SNMP	services.snmp.oid_system.desc: "APC Web/SNMP Management Card*"			Y	IT	Schneider Electric	Supported	Duplicate	Duplicates ID 58		9/13/2024
60	PM800	HTTP	"PowerLogic" "PM800"	Basic realm	Y		IT	Schneider Electric	Unsupported	Not Implemented			9/13/2024
61	PM800	HTTP	http.html_hash:2039835388	hash	Y		IT	Schneider Electric	Supported	Implemented		7/12/2023	9/13/2024
62	PM800	HTTP	PowerLogic port:80				IT	Schneider Electric	Unsupported	Review	Too generic. Needs review from Schneider Electric team.		9/13/2024
63	ION7650	HTTP	services.http.response.html_tags="<title>PowerLogic ION 7650</title>"	html_tag		Y	IT	Schneider Electric	Supported	Duplicate	Duplicates ID 3		9/13/2024
64	ION7650	HTTP	services.http.response.html_title="PowerLogic ION 7650"	html_title		Y	IT	Schneider Electric	Supported	Duplicate	Duplicates ID 8		9/13/2024
65	ION7650	HTTP	services.software.product="PowerLogic ION 7650"	product		Y	IT	Schneider Electric	Supported	Implemented		10/9/2024	9/13/2024
66	ION7650	HTTP	services.software.version="3.10" and services.software.vendor="Schneider Electric"	Version + vendor		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible Smartfingerprint implementation		9/13/2024
67	ION7650	HTTP	services.http.response.body_hashes="sha1:aaea3e092f896caf85bd92aebb53fb0d7953ee1f"	hash		Y	IT	Schneider Electric	Unsupported	Implemented	Murmurhash implemented 672627340 (Duplicates row 2)	10/9/2024	9/13/2024
68	ION7650	HTTP	services.software.version="3.10" and services.software.vendor="Schneider Electric"	hash		Y	IT	Schneider Electric	Unsupported	Duplicate	Duplicates ID 66		9/13/2024
69	ION8650	HTTP	services.http.response.html_tags="<title>PowerLogic ION 8600</title>"	html_tag		Y	IT	Schneider Electric	Supported	Duplicate	Duplicates ID 79		9/13/2024
70	ION8650	HTTP	services.software.product="PowerLogic ION 8600"	product		Y	IT	Schneider Electric	Supported	Implemented		10/9/2024	9/13/2024
71	ION8650	HTTP	services.http.response.body_hashes="sha1:c1545b771c577c3284cabc1f002eac33ec6e1a69"	hash		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible translation to murmur hash		9/13/2024
72	ION8650	HTTP	services.http.response.body_hashes="sha256:fb7a3be8986974c88362b703c65f395a71415fede4e4973ff12f8fb4d317e6a6"	hash		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible translation to murmur hash		9/13/2024
73	ION8650	HTTP	services.http.response.body_hashes="sha256:1024813e4972ce3f7c5e265590413607fbc1e750d8d41a70d230d10d24354e2a"	hash		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible translation to murmur hash		9/13/2024
74	ION8650	HTTP	services.http.response.body_hashes="sha1:e04d5850672456aace8273ed10a1f6786969a679"	hash		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible translation to murmur hash		9/13/2024
75	ION8650	HTTP	services.http.response.body_hashes="sha1:c7ecf8b50e3cd8492d01292452642617e49c23a0"	hash		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible translation to murmur hash		9/13/2024
76	ION8650	HTTP	services.http.response.body_hashes="sha256:78fe0a79a97adb0958b9dc5d979dbc4766df840911a50d5d000b7a69a3c138e3"	hash		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible translation to murmur hash		9/13/2024
77	ION8650	HTTP	services.http.response.body_hashes="sha256:7eda790c76b436802e7bce9046270c49e4b9aa8da0710446dc58acbec9e94df1"	hash		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible translation to murmur hash		9/13/2024
78	ION8650	HTTP	services.http.response.body_hashes="sha1:d5c19dec857237015a7f4ab0dd4704bf1f6b8e8c"	hash		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible translation to murmur hash		9/13/2024
79	ION8650	HTTP	services.http.response.html_title="PowerLogic ION 8600"	html_title		Y	IT	Schneider Electric	Supported	Implemented		6/27/2024	9/13/2024
80	ION9000	HTTP	services.software.product="PowerLogic Power Meter" and "ION9000"	product		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible Smartfingerprint implementation		9/13/2024
81	ION9000	HTTP	services.tls.certificates.leaf_data.issuer.common_name:"ION9000"	tls Certificate 		Y	IT	Schneider Electric	Supported	Implemented		10/9/2024	9/13/2024
82	ION9000	HTTP	services.http.response.body_hashes="sha1:a4bf9e4604b62c24f1eff844dcf8f32217ab74c3" and services.tls.certificates.leaf_data.issuer.common_name:"ION9000"	hash + tls certificate		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible Smartfingerprint implementation		9/13/2024
83	ION9000	HTTP	services.http.response.body_hashes="sha256:98a3cb299a5577b7b18fecb88bccf8c5780463329f5d2738df513a95d4b8c666" and services.tls.certificates.leaf_data.issuer.common_name:"ION9000"	hash + tls certificate		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible Smartfingerprint implementation		9/13/2024
84	ION7400	HTTP	services.http.response.body_hashes="sha1:a4bf9e4604b62c24f1eff844dcf8f32217ab74c3" and services.tls.certificates.leaf_data.issuer.common_name:"ION7400"	hash + tls certificate		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible Smartfingerprint implementation		9/13/2024
85	ION7400	HTTP	services.http.response.body_hashes="sha256:98a3cb299a5577b7b18fecb88bccf8c5780463329f5d2738df513a95d4b8c666" and services.tls.certificates.leaf_data.issuer.common_name:"ION7400"	hash + tls certificate		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible Smartfingerprint implementation		9/13/2024
86	PM8000	HTTP	services.http.response.body_hashes="sha1:a4bf9e4604b62c24f1eff844dcf8f32217ab74c3" and services.tls.certificates.leaf_data.issuer.common_name:"PM8000"	hash + tls certificate		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible Smartfingerprint implementation		9/13/2024
87	PM8000	HTTP	services.http.response.body_hashes="sha256:98a3cb299a5577b7b18fecb88bccf8c5780463329f5d2738df513a95d4b8c666" and services.tls.certificates.leaf_data.issuer.common_name:"PM8000"	hash + tls certificate		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible Smartfingerprint implementation		9/13/2024
88	ION7400	HTTP	services.http.response.favicons.hashes="md5:95db983278a0c04695b2e6775a65a8da" and services.tls.certificates.leaf_data.issuer.common_name:"ION7400"	hash + tls certificate		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible Smartfingerprint implementation		9/13/2024
89	ION9000	HTTP	services.http.response.favicons.hashes="md5:95db983278a0c04695b2e6775a65a8da" and services.tls.certificates.leaf_data.issuer.common_name:"ION9000"	favicon hash + tls certificate		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible Smartfingerprint implementation		9/13/2024
90	PM8000	HTTP	services.http.response.favicons.hashes="md5:95db983278a0c04695b2e6775a65a8da" and services.tls.certificates.leaf_data.issuer.common_name:"PM8000"	hash + tls certificate		Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible Smartfingerprint implementation		9/13/2024
